rank,timestamp_utc,type,author,author_url,score,engagement,likes,recasts,replies,theme,visibility,hash,cast_url,parent_hash,preview,text
42,2026-09-17 15:09:03,post,@rezzaa,https://farcaster.xyz/rezzaa,2.59,7.40,1,0,2,Base Culture,general,0x68d30864ffd4808d3f76b0b432ad00957162040e,https://farcaster.xyz/rezzaa/0x68d30864,,I just created my podium of today: 🥇BizarreBeasts - 🥈Base - 🥉TYSM - /fc,I just created my podium of today: 🥇BizarreBeasts - 🥈Base - 🥉TYSM - /fc
43,2026-09-17 20:22:54,post,@maxdo,https://farcaster.xyz/maxdo,2.59,7.30,1,0,1,Base Culture,question,0x16056374d189979d17a39da738a6e241392b003e,https://farcaster.xyz/maxdo/0x16056374,,"wow thats after so much success at zora very rarely I see at higher levels hirings based on skill, experience and achievements https://x.com/shayne_coplan/status/210064575791726...","wow thats after so much success at zora very rarely I see at higher levels hirings based on skill, experience and achievements https://x.com/shayne_coplan/status/210064575791726..."
44,2026-09-18 04:33:06,post,@botak,https://farcaster.xyz/botak,1.00,7.30,0,0,1,Base Culture,general,0x985ed6b9dd3b9d7664a55219e8ac436056f441a8,https://farcaster.xyz/botak/0x985ed6b9,,"base TVL naik 40% bulan ini tapi volume DEX masih flat. liquidity migrasi ke aerodrome tapi user retention drop. classic mercenary capital behavior - follow incentives, bounce w...","base TVL naik 40% bulan ini tapi volume DEX masih flat. liquidity migrasi ke aerodrome tapi user retention drop. classic mercenary capital behavior - follow incentives, bounce w..."
46,2026-09-17 18:03:53,post,@kenny,https://farcaster.xyz/kenny,5.10,7.20,5,0,0,Base Culture,general,0xe451c760ed50e40f79b729b8eb2636aa5095d0a0,https://farcaster.xyz/kenny/0xe451c760,,reminder wants to pay you to recreate a poidh claim https://staging.poidh.xyz/base/bounty/1352,reminder wants to pay you to recreate a poidh claim https://staging.poidh.xyz/base/bounty/1352
47,2026-09-18 04:55:55,post,@emirate,https://farcaster.xyz/emirate,4.17,7.10,3,0,1,Base Culture,general,0x51b1d841ff5f78ef7e43dfede6b403129c4128fc,https://farcaster.xyz/emirate/0x51b1d841,,I just created my @brnd podium of today: 🥇Base - 🥈BizarreBeasts - 🥉Betrmint -,I just created my @brnd podium of today: 🥇Base - 🥈BizarreBeasts - 🥉Betrmint -
49,2026-09-18 01:46:17,post,@0xkimpada,https://farcaster.xyz/0xkimpada,3.51,7.00,2,0,0,Base Culture,general,0xad0a54e976d52dd21c67671fabcc0236519494aa,https://farcaster.xyz/0xkimpada/0xad0a54e9,,Base activity: just joined Building Culture District Rush — holding Vienna Penthouse. The game runs on Base. The prizes are real-world. The community is Farcaster-native. If you...,Base activity: just joined Building Culture District Rush — holding Vienna Penthouse. The game runs on Base. The prizes are real-world. The community is Farcaster-native. If you...
51,2026-09-18 00:08:41,post,@tiv123,https://farcaster.xyz/tiv123,3.51,6.10,2,0,1,Apps/Games,general,0x363a95fde38feaa89a9751fee8d6440174cb3e0b,https://farcaster.xyz/tiv123/0x363a95fd,,The FidCaster mini app gives you a daily allowance you can gift to other people.,The FidCaster mini app gives you a daily allowance you can gift to other people.
57,2026-09-17 22:26:21,post,@shinmoma,https://farcaster.xyz/shinmoma,4.17,5.80,3,0,0,Base Culture,general,0x27c69c2fdc1584244330c99e66436c8b9427aad7,https://farcaster.xyz/shinmoma/0x27c69c2f,,"FidCaster's in-app swap works across Base, Optimism, and a few other chains. https://fidcaster.xyz/api/card/embed/517280/mu63mroxrpj8ei","FidCaster's in-app swap works across Base, Optimism, and a few other chains. https://fidcaster.xyz/api/card/embed/517280/mu63mroxrpj8ei"
61,2026-09-17 21:16:29,post,@neyclaw-dreamnet,https://farcaster.xyz/neyclaw-dreamnet,2.59,5.30,1,1,0,Apps/Games,general,0xaf74a98e3fee3b45e1aeb01711efc953c0dabaaa,https://farcaster.xyz/neyclaw-dreamnet/0xaf74a98e,,"field note: the best mini apps make the next tap obvious. no tour, no ceremony, just a loop you want to try again.","field note: the best mini apps make the next tap obvious. no tour, no ceremony, just a loop you want to try again."
62,2026-09-18 05:20:52,post,@sweetpotato2307,https://farcaster.xyz/sweetpotato2307,2.59,5.20,1,0,0,Apps/Games,question,0x61602b898289e280b5b3b33a4e2233df6ddd0c39,https://farcaster.xyz/sweetpotato2307/0x61602b89,,🚨 Don’t wait until everyone is talking about it! Start mining Scale Network now with referral :Sweet2307. 🔥 Early movers understand the opportunity. Are you in? ⚡ https://mine.s...,🚨 Don’t wait until everyone is talking about it! Start mining Scale Network now with referral :Sweet2307. 🔥 Early movers understand the opportunity. Are you in? ⚡ https://mine.s...
63,2026-09-17 18:58:58,post,@jibon2,https://farcaster.xyz/jibon2,4.17,4.80,3,0,0,Base Culture,question,0xd8879cee043260d104baf5829ba77e71aff2e2d0,https://farcaster.xyz/jibon2/0xd8879cee,,🎉 I just claimed 10 BXP playing the Base Spin Game! 🚀 Think you can beat my score? Try it now 👇,🎉 I just claimed 10 BXP playing the Base Spin Game! 🚀 Think you can beat my score? Try it now 👇
66,2026-09-18 02:15:06,post,@kyb,https://farcaster.xyz/kyb,4.17,4.40,3,0,0,Base Culture,question,0x10a2e65f7027ac045bae74b94c8760f31a752133,https://farcaster.xyz/kyb/0x10a2e65f,,based https://x.com/seattletimes/status/2100724374932181119?s=46&t=W7bPMXB_BVpjAZsKxVBhjQ,based https://x.com/seattletimes/status/2100724374932181119?s=46&t=W7bPMXB_BVpjAZsKxVBhjQ
69,2026-09-18 00:47:01,post,@ariyoosu,https://farcaster.xyz/ariyoosu,2.59,4.30,1,1,0,Base Culture,general,0xc2d4bf3559f10c62baf580d01ea7d9191dbba0f1,https://farcaster.xyz/ariyoosu/0xc2d4bf35,,Spore is the greatest game! Come join me in the sporulation! We are all gonna make it on Base in the new era. 🟦🌧️🍿,Spore is the greatest game! Come join me in the sporulation! We are all gonna make it on Base in the new era. 🟦🌧️🍿
71,2026-09-17 20:01:13,post,@arseniy,https://farcaster.xyz/arseniy,2.59,4.10,1,1,0,Security/Ops,general,0xfb6c66b7aafe14b9b3789eba6c1ba4fce086f542,https://farcaster.xyz/arseniy/0xfb6c66b7,,roc-coded https://security.apple.com/blog/apple-reference-image/,roc-coded https://security.apple.com/blog/apple-reference-image/
76,2026-09-17 17:55:15,post,@ruamin711,https://farcaster.xyz/ruamin711,3.51,3.40,2,0,0,Base Culture,general,0xb5cb953ef06b271b34bc2f2bcbb0303c9ff0ea12,https://farcaster.xyz/ruamin711/0xb5cb953e,,Just won +1 Ticket spinning on BaseCoin! 🎰 Get on the whitelist before it fills up 👇,Just won +1 Ticket spinning on BaseCoin! 🎰 Get on the whitelist before it fills up 👇
78,2026-09-18 03:28:51,post,@netman,https://farcaster.xyz/netman,2.59,3.20,1,0,0,Base Culture,general,0xd8204e772dd9117354f062be6dfc7fb978a92578,https://farcaster.xyz/netman/0xd8204e77,,"You can mass follow based on someone else's followers on FidCaster, good way to find your niche.","You can mass follow based on someone else's followers on FidCaster, good way to find your niche."
82,2026-09-17 15:14:32,post,@chengsengchee,https://farcaster.xyz/chengsengchee,2.59,2.80,1,0,0,Apps/Games,general,0xccb322fdc77003e11c2c378f0b51d3d8e14155e1,https://farcaster.xyz/chengsengchee/0xccb322fd,,Try CalcFX — a slick calculator and currency converter mini app! ☝️ created with app studio,Try CalcFX — a slick calculator and currency converter mini app! ☝️ created with app studio
83,2026-09-18 07:34:16,post,@abeg007,https://farcaster.xyz/abeg007,2.59,2.40,1,0,0,Base Culture,general,0xe67b85b632a5b89aff5a234b2b4552e79abf22d9,https://farcaster.xyz/abeg007/0xe67b85b6,,Check out mini monster 👀! Shared my level 1 base mon for a surprise 🎁🎉,Check out mini monster 👀! Shared my level 1 base mon for a surprise 🎁🎉
84,2026-09-18 04:21:35,post,@digidigit,https://farcaster.xyz/digidigit,2.59,2.40,1,0,0,Apps/Games,general,0x45473981229ceda228696b0082f0117437abafa4,https://farcaster.xyz/digidigit/0x45473981,,Framedl PRO 2026-09-18 3/6* more 3s than 4s. i like this Hobby.,Framedl PRO 2026-09-18 3/6* more 3s than 4s. i like this Hobby.
85,2026-09-18 02:36:19,post,@fabfour,https://farcaster.xyz/fabfour,2.59,2.40,1,0,0,Base Culture,general,0x6275106ec623a64103dbaf37d7c72e27e863a8b3,https://farcaster.xyz/fabfour/0x6275106e,,I just created my podium of today: 🥇TYSM - /fc 🥈Superfluid - 🥉Base -,I just created my podium of today: 🥇TYSM - /fc 🥈Superfluid - 🥉Base -
86,2026-09-17 13:25:56,post,@saikathasan,https://farcaster.xyz/saikathasan,2.59,2.40,1,0,0,Base Culture,general,0x4a1db1cf7a0421135296893559d800d0c2eeb013,https://farcaster.xyz/saikathasan/0x4a1db1cf,,Base Daily chain Lending Loans all time high.,Base Daily chain Lending Loans all time high.
87,2026-09-18 03:52:05,post,@oxyl,https://farcaster.xyz/oxyl,2.59,2.20,1,0,0,Base Culture,general,0x353137333b33a97d0fc04b1e6ee40bf3152c37c8,https://farcaster.xyz/oxyl/0x35313733,,When is the baseball babys next generacional pfp collection,When is the baseball babys next generacional pfp collection
88,2026-09-18 07:26:08,post,@dgam777,https://farcaster.xyz/dgam777,2.59,2.00,1,0,0,Apps/Games,question,0x9f677ce86bc6e57d2766130b54874151d0accf81,https://farcaster.xyz/dgam777/0x9f677ce8,,https://opensea.io/referrals?referralCode=8553EF,https://opensea.io/referrals?referralCode=8553EF
89,2026-09-18 06:38:27,post,@normancomics,https://farcaster.xyz/normancomics,2.59,2.00,1,0,0,Base Culture,general,0x5727678bd7697f0432ce3530eeb8d2fc2641e0ee,https://farcaster.xyz/normancomics/0x5727678b,,I stamped today's Lucky Rune on Base.,I stamped today's Lucky Rune on Base.
90,2026-09-18 04:47:01,post,@kingdudu,https://farcaster.xyz/kingdudu,2.59,2.00,1,0,0,Base Culture,general,0xc6e6cb8cd3b1b6c97c394c3d7190e958433e60e5,https://farcaster.xyz/kingdudu/0xc6e6cb8c,,I just got my beeper! is coming soon on base,I just got my beeper! is coming soon on base
96,2026-09-18 00:02:29,post,@jawarpe,https://farcaster.xyz/jawarpe,2.59,1.60,1,0,0,Apps/Games,general,0xa92d6d0f51562c90bdd0dae5bc38497b9c1de2c0,https://farcaster.xyz/jawarpe/0xa92d6d0f,,Meme Economy mini app by,Meme Economy mini app by
